('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 130, Minibatch Loss= 430.110758, Training Accuracy= 0.97333
Iter 131, Minibatch Loss= 9.860833, Training Accuracy= 0.99333
Iter 132, Minibatch Loss= 165.750224, Training Accuracy= 0.98667
Iter 133, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 134, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 135, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 136, Minibatch Loss= 114.708199, Training Accuracy= 0.98667
Iter 137, Minibatch Loss= 70.150665, Training Accuracy= 0.98667
Iter 138, Minibatch Loss= 282.683024, Training Accuracy= 0.98000
Iter 139, Minibatch Loss= 166.309591, Training Accuracy= 0.97333
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 142, Minibatch Loss= 105.811887, Training Accuracy= 0.98667
Iter 143, Minibatch Loss= 85.721486, Training Accuracy= 0.98667
Iter 144, Minibatch Loss= 18.921537, Training Accuracy= 0.98667
Iter 145, Minibatch Loss= 324.687785, Training Accuracy= 0.98667
Iter 146, Minibatch Loss= 61.653061, Training Accuracy= 0.99333
Iter 147, Minibatch Loss= 312.042867, Training Accuracy= 0.97333
Iter 148, Minibatch Loss= 33.151588, Training Accuracy= 0.99333
Iter 149, Minibatch Loss= 69.586573, Training Accuracy= 0.99333
Iter 150, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 151, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 152, Minibatch Loss= 131.133647, Training Accuracy= 0.98667
Iter 153, Minibatch Loss= 103.853500, Training Accuracy= 0.98667
Iter 154, Minibatch Loss= 226.272949, Training Accuracy= 0.98667
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 72.287837, Training Accuracy= 0.99333
Iter 157, Minibatch Loss= 137.337855, Training Accuracy= 0.98000
Iter 158, Minibatch Loss= 415.630229, Training Accuracy= 0.97333
Iter 159, Minibatch Loss= 30.896301, Training Accuracy= 0.98667
Iter 160, Minibatch Loss= 57.345103, Training Accuracy= 0.99333
Iter 161, Minibatch Loss= 543.553446, Training Accuracy= 0.98000
Iter 162, Minibatch Loss= 7.331067, Training Accuracy= 0.99333
Iter 163, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 164, Minibatch Loss= 113.007497, Training Accuracy= 0.99333
Iter 165, Minibatch Loss= 117.450562, Training Accuracy= 0.98000
Iter 166, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 167, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 168, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 169, Minibatch Loss= 216.064107, Training Accuracy= 0.99333
Iter 170, Minibatch Loss= 145.958466, Training Accuracy= 0.98667
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 78.821665, Training Accuracy= 0.99333
Iter 173, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 174, Minibatch Loss= 119.269531, Training Accuracy= 0.99333
Iter 175, Minibatch Loss= 183.869736, Training Accuracy= 0.98000
Iter 176, Minibatch Loss= 45.432064, Training Accuracy= 0.98667
Iter 177, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 178, Minibatch Loss= 24.441589, Training Accuracy= 0.99333
Iter 179, Minibatch Loss= 81.605311, Training Accuracy= 0.99333
Iter 180, Minibatch Loss= 12.826420, Training Accuracy= 0.99333
Iter 181, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 182, Minibatch Loss= 150.839165, Training Accuracy= 0.98667
Iter 183, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 184, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 185, Minibatch Loss= 403.426203, Training Accuracy= 0.98000
Iter 186, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 187, Minibatch Loss= 196.337446, Training Accuracy= 0.98667
Iter 188, Minibatch Loss= 84.414948, Training Accuracy= 0.98667
Iter 189, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 190, Minibatch Loss= 68.671483, Training Accuracy= 0.99333
Iter 191, Minibatch Loss= 37.113803, Training Accuracy= 0.99333
Iter 192, Minibatch Loss= 38.788228, Training Accuracy= 0.98667
Iter 193, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 194, Minibatch Loss= 95.757497, Training Accuracy= 0.98000
Iter 195, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 196, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 197, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 198, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 199, Minibatch Loss= 18.854759, Training Accuracy= 0.98667

Training complete!
Model saved in file: tempModelsCNNFolds/model0.ckpt
/Library/Python/2.7/site-packages/sklearn/metrics/classification.py:1113: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples.
  'precision', 'predicted', average, warn_for)
/Library/Python/2.7/site-packages/sklearn/metrics/classification.py:1113: UndefinedMetricWarning: F-score is ill-defined and being set to 0.0 in labels with no predicted samples.
  'precision', 'predicted', average, warn_for)
('accuracy : ', 0.66666666666666663)
('precision : ', 0.63775510204081631)
('recall : ', 0.66666666666666663)
('f1 : ', 0.63832199546485258)


('Fold : ', 1)
Iter 0, Minibatch Loss= 222077.432292, Training Accuracy= 0.08667
Iter 1, Minibatch Loss= 112553.544271, Training Accuracy= 0.22000
Iter 2, Minibatch Loss= 93019.023438, Training Accuracy= 0.30667
Iter 3, Minibatch Loss= 98690.343750, Training Accuracy= 0.26000
Iter 4, Minibatch Loss= 84256.014323, Training Accuracy= 0.32667
Iter 5, Minibatch Loss= 79285.963542, Training Accuracy= 0.34000
Iter 6, Minibatch Loss= 39826.187500, Training Accuracy= 0.40000
Iter 7, Minibatch Loss= 47924.167969, Training Accuracy= 0.34000
Iter 8, Minibatch Loss= 41415.406250, Training Accuracy= 0.34000
Iter 9, Minibatch Loss= 28192.882161, Training Accuracy= 0.54000
Iter 10, Minibatch Loss= 36415.634766, Training Accuracy= 0.45333
Iter 11, Minibatch Loss= 28846.614583, Training Accuracy= 0.50667
Iter 12, Minibatch Loss= 30271.547526, Training Accuracy= 0.38667
Iter 13, Minibatch Loss= 24062.985677, Training Accuracy= 0.55333
Iter 14, Minibatch Loss= 19196.073893, Training Accuracy= 0.55333
Iter 15, Minibatch Loss= 16395.780924, Training Accuracy= 0.64000
Iter 16, Minibatch Loss= 17042.157552, Training Accuracy= 0.65333
Iter 17, Minibatch Loss= 18370.349609, Training Accuracy= 0.58667
Iter 18, Minibatch Loss= 12690.693685, Training Accuracy= 0.66000
Iter 19, Minibatch Loss= 13816.064453, Training Accuracy= 0.67333
Iter 20, Minibatch Loss= 10579.934245, Training Accuracy= 0.66667
Iter 21, Minibatch Loss= 12305.271810, Training Accuracy= 0.69333
Iter 22, Minibatch Loss= 11239.115234, Training Accuracy= 0.69333
Iter 23, Minibatch Loss= 7992.653158, Training Accuracy= 0.75333
Iter 24, Minibatch Loss= 6899.024089, Training Accuracy= 0.74667
Iter 25, Minibatch Loss= 8210.840169, Training Accuracy= 0.76000
Iter 26, Minibatch Loss= 5247.828369, Training Accuracy= 0.80000
Iter 27, Minibatch Loss= 8137.863607, Training Accuracy= 0.72000
Iter 28, Minibatch Loss= 6137.017822, Training Accuracy= 0.76667
Iter 29, Minibatch Loss= 4192.641357, Training Accuracy= 0.80667
Iter 30, Minibatch Loss= 5757.687826, Training Accuracy= 0.78667
Iter 31, Minibatch Loss= 4610.156901, Training Accuracy= 0.81333
Iter 32, Minibatch Loss= 4052.490885, Training Accuracy= 0.86667
Iter 33, Minibatch Loss= 5308.962402, Training Accuracy= 0.79333
Iter 34, Minibatch Loss= 3949.243245, Training Accuracy= 0.84000
Iter 35, Minibatch Loss= 3182.251465, Training Accuracy= 0.84667
Iter 36, Minibatch Loss= 2003.092896, Training Accuracy= 0.88000
Iter 37, Minibatch Loss= 1384.427897, Training Accuracy= 0.90000
Iter 38, Minibatch Loss= 1848.100016, Training Accuracy= 0.90000
Iter 39, Minibatch Loss= 1767.601847, Training Accuracy= 0.92667
Iter 40, Minibatch Loss= 3030.308757, Training Accuracy= 0.84667
Iter 41, Minibatch Loss= 2210.480082, Training Accuracy= 0.92000
Iter 42, Minibatch Loss= 606.786143, Training Accuracy= 0.93333
Iter 43, Minibatch Loss= 1472.060059, Training Accuracy= 0.92667
Iter 44, Minibatch Loss= 1592.354685, Training Accuracy= 0.91333
Iter 45, Minibatch Loss= 1539.190674, Training Accuracy= 0.91333
Iter 46, Minibatch Loss= 1073.709717, Training Accuracy= 0.93333
Iter 47, Minibatch Loss= 912.987386, Training Accuracy= 0.92000
Iter 48, Minibatch Loss= 1133.535395, Training Accuracy= 0.92667
Iter 49, Minibatch Loss= 447.439504, Training Accuracy= 0.94667
Iter 50, Minibatch Loss= 196.929891, Training Accuracy= 0.98000
Iter 51, Minibatch Loss= 1326.923930, Training Accuracy= 0.93333
Iter 52, Minibatch Loss= 979.524668, Training Accuracy= 0.90000
Iter 53, Minibatch Loss= 533.396200, Training Accuracy= 0.97333
Iter 54, Minibatch Loss= 1005.099935, Training Accuracy= 0.93333
Iter 55, Minibatch Loss= 1393.016805, Training Accuracy= 0.92000
Iter 56, Minibatch Loss= 513.938285, Training Accuracy= 0.95333
Iter 57, Minibatch Loss= 623.359767, Training Accuracy= 0.94000
Iter 58, Minibatch Loss= 1291.447164, Training Accuracy= 0.91333
Iter 59, Minibatch Loss= 570.966125, Training Accuracy= 0.95333
Iter 60, Minibatch Loss= 808.074320, Training Accuracy= 0.95333
Iter 61, Minibatch Loss= 237.515472, Training Accuracy= 0.98000
Iter 62, Minibatch Loss= 871.382589, Training Accuracy= 0.95333
Iter 63, Minibatch Loss= 690.976329, Training Accuracy= 0.93333
Iter 64, Minibatch Loss= 78.426147, Training Accuracy= 0.97333
Iter 65, Minibatch Loss= 0.393542, Training Accuracy= 0.99333
Iter 66, Minibatch Loss= 333.107839, Training Accuracy= 0.96667
Iter 67, Minibatch Loss= 224.567184, Training Accuracy= 0.96000
Iter 68, Minibatch Loss= 179.209839, Training Accuracy= 0.98667
Iter 69, Minibatch Loss= 118.212056, Training Accuracy= 0.98000
Iter 70, Minibatch Loss= 359.880046, Training Accuracy= 0.97333
Iter 71, Minibatch Loss= 109.162547, Training Accuracy= 0.98000
Iter 72, Minibatch Loss= 115.809690, Training Accuracy= 0.98000
Iter 73, Minibatch Loss= 286.101003, Training Accuracy= 0.95333
Iter 74, Minibatch Loss= 422.405858, Training Accuracy= 0.97333
Iter 75, Minibatch Loss= 244.907822, Training Accuracy= 0.97333
Iter 76, Minibatch Loss= 216.594111, Training Accuracy= 0.96667
Iter 77, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 78, Minibatch Loss= 186.424398, Training Accuracy= 0.98667
Iter 79, Minibatch Loss= 205.725553, Training Accuracy= 0.98000
Iter 80, Minibatch Loss= 155.626120, Training Accuracy= 0.98000
Iter 81, Minibatch Loss= 529.390472, Training Accuracy= 0.96667
Iter 82, Minibatch Loss= 62.626404, Training Accuracy= 0.98000
Iter 83, Minibatch Loss= 208.489787, Training Accuracy= 0.98000
Iter 84, Minibatch Loss= 240.047262, Training Accuracy= 0.96000
Iter 85, Minibatch Loss= 128.222824, Training Accuracy= 0.97333
Iter 86, Minibatch Loss= 617.525459, Training Accuracy= 0.96000
Iter 87, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 88, Minibatch Loss= 207.858332, Training Accuracy= 0.96667
Iter 89, Minibatch Loss= 98.559296, Training Accuracy= 0.98000
Iter 90, Minibatch Loss= 274.361984, Training Accuracy= 0.97333
Iter 91, Minibatch Loss= 168.563619, Training Accuracy= 0.98667
Iter 92, Minibatch Loss= 148.213338, Training Accuracy= 0.98667
Iter 93, Minibatch Loss= 128.772888, Training Accuracy= 0.99333
Iter 94, Minibatch Loss= 28.989792, Training Accuracy= 0.99333
Iter 95, Minibatch Loss= 119.728231, Training Accuracy= 0.98667
Iter 96, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 97, Minibatch Loss= 182.531488, Training Accuracy= 0.98000
Iter 98, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 99, Minibatch Loss= 45.379064, Training Accuracy= 0.99333
Iter 100, Minibatch Loss= 28.101250, Training Accuracy= 0.99333
Iter 101, Minibatch Loss= 141.795186, Training Accuracy= 0.98000
Iter 102, Minibatch Loss= 326.789159, Training Accuracy= 0.98000
Iter 103, Minibatch Loss= 89.358988, Training Accuracy= 0.99333
Iter 104, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 105, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 106, Minibatch Loss= 31.038750, Training Accuracy= 0.99333
Iter 107, Minibatch Loss= 25.884298, Training Accuracy= 0.99333
Iter 108, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 109, Minibatch Loss= 26.551771, Training Accuracy= 0.99333
Iter 110, Minibatch Loss= 218.132812, Training Accuracy= 0.96667
Iter 111, Minibatch Loss= 7.096146, Training Accuracy= 0.99333
Iter 112, Minibatch Loss= 131.865204, Training Accuracy= 0.98000
Iter 113, Minibatch Loss= 264.722168, Training Accuracy= 0.96000
Iter 114, Minibatch Loss= 77.342682, Training Accuracy= 0.99333
Iter 115, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 116, Minibatch Loss= 141.565257, Training Accuracy= 0.98667
Iter 117, Minibatch Loss= 61.330963, Training Accuracy= 0.99333
Iter 118, Minibatch Loss= 111.295705, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 524.805257, Training Accuracy= 0.98000
Iter 120, Minibatch Loss= 16.189428, Training Accuracy= 0.99333
Iter 121, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 122, Minibatch Loss= 95.302940, Training Accuracy= 0.98667
Iter 123, Minibatch Loss= 32.364115, Training Accuracy= 0.99333
Iter 124, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 125, Minibatch Loss= 27.507240, Training Accuracy= 0.99333
Iter 126, Minibatch Loss= 28.235990, Training Accuracy= 0.99333
Iter 127, Minibatch Loss= 16.499284, Training Accuracy= 0.99333
Iter 128, Minibatch Loss= 6.013985, Training Accuracy= 0.99333
Iter 129, Minibatch Loss= 172.903544, Training Accuracy= 0.98667
Iter 130, Minibatch Loss= 340.674093, Training Accuracy= 0.97333
Iter 131, Minibatch Loss= 63.306900, Training Accuracy= 0.99333
Iter 132, Minibatch Loss= 152.190186, Training Accuracy= 0.98000
Iter 133, Minibatch Loss= 384.289378, Training Accuracy= 0.98667
Iter 134, Minibatch Loss= 184.987686, Training Accuracy= 0.98667
Iter 135, Minibatch Loss= 13.699792, Training Accuracy= 0.99333
Iter 136, Minibatch Loss= 4.394609, Training Accuracy= 0.99333
Iter 137, Minibatch Loss= 403.746572, Training Accuracy= 0.93333
Iter 138, Minibatch Loss= 19.088047, Training Accuracy= 0.98667
Iter 139, Minibatch Loss= 457.314657, Training Accuracy= 0.97333
Iter 140, Minibatch Loss= 181.960103, Training Accuracy= 0.99333
Iter 141, Minibatch Loss= 139.149094, Training Accuracy= 0.98000
Iter 142, Minibatch Loss= 21.373230, Training Accuracy= 0.99333
Iter 143, Minibatch Loss= 89.327084, Training Accuracy= 0.98667
Iter 144, Minibatch Loss= 21.516953, Training Accuracy= 0.98667
Iter 145, Minibatch Loss= 29.222577, Training Accuracy= 0.99333
Iter 146, Minibatch Loss= 162.367139, Training Accuracy= 0.98667
Iter 147, Minibatch Loss= 42.996694, Training Accuracy= 0.99333
Iter 148, Minibatch Loss= 93.795207, Training Accuracy= 0.99333
Iter 149, Minibatch Loss= 403.541482, Training Accuracy= 0.97333
Iter 150, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 151, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 152, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 153, Minibatch Loss= 72.951848, Training Accuracy= 0.98667
Iter 154, Minibatch Loss= 59.844975, Training Accuracy= 0.98667
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 18.729192, Training Accuracy= 0.99333
Iter 157, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 158, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 159, Minibatch Loss= 44.700211, Training Accuracy= 0.99333
Iter 160, Minibatch Loss= 156.301877, Training Accuracy= 0.98667
Iter 161, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 162, Minibatch Loss= 92.420339, Training Accuracy= 0.99333
Iter 163, Minibatch Loss= 80.340937, Training Accuracy= 0.99333
Iter 164, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 165, Minibatch Loss= 3.002031, Training Accuracy= 0.99333
Iter 166, Minibatch Loss= 38.044884, Training Accuracy= 0.99333
Iter 167, Minibatch Loss= 153.384918, Training Accuracy= 0.99333
Iter 168, Minibatch Loss= 136.104248, Training Accuracy= 0.98667
Iter 169, Minibatch Loss= 39.225833, Training Accuracy= 0.99333
Iter 170, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 171, Minibatch Loss= 182.366659, Training Accuracy= 0.99333
Iter 172, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 173, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 174, Minibatch Loss= 176.406799, Training Accuracy= 0.98000
